Census Tract,Community Reporting Area,Geometry,Latitude (generated),Longitude (generated),% Burdened,Households Burdened,Total Households
105,West Seattle Junction/Genesee Hill,Polygon,47.557793659,-122.385838027,42%,940,2250
106,Fauntleroy/Seaview,Polygon,47.552273785,-122.399277009,33%,435,1320
107.01,High Point,Polygon,47.544184870,-122.367390176,44%,373,845
107.02,High Point,Polygon,47.546537235,-122.370992929,48%,464,970
108,Riverview,MultiPolygon,47.552229901,-122.345788896,53%,299,565
109,Georgetown,Polygon,47.543541117,-122.330160469,47%,149,320
110.01,South Beacon Hill/NewHolly,Polygon,47.537712958,-122.287222247,63%,685,1090
110.02,South Beacon Hill/NewHolly,Polygon,47.540186369,-122.298031177,68%,399,590
111.01,Columbia City,Polygon,47.538176483,-122.277313427,58%,535,920
111.02,Seward Park,Polygon,47.538644396,-122.262053077,39%,269,685
112,South Park,Polygon,47.535081443,-122.327808897,64%,540,850
113,Highland Park,Polygon,47.527241082,-122.341856037,74%,1210,1645
114.01,Roxhill/Westwood,Polygon,47.531999507,-122.361161698,46%,389,845
114.02,Roxhill/Westwood,Polygon,47.519569065,-122.364448670,43%,465,1085
115,Roxhill/Westwood,Polygon,47.530619905,-122.376182576,28%,159,560
116,Fauntleroy/Seaview,Polygon,47.530597109,-122.394878249,41%,355,870
117,South Beacon Hill/NewHolly,Polygon,47.520697493,-122.282831106,51%,219,430
118,Rainier Beach,Polygon,47.522989212,-122.259994187,58%,835,1440
119,Rainier Beach,Polygon,47.508386938,-122.248885017,44%,315,720
120,Arbor Heights,Polygon,47.514329988,-122.383407159,22%,70,315
121,Arbor Heights,Polygon,47.508086577,-122.389318210,22%,29,130
265,Highland Park,Polygon,47.515128249,-122.331160414,42%,429,1025
501,,,,,10%,8,80
507,,,,,61%,499,820
510,,,,,39%,177,455
513,,,,,44%,275,625
516,,,,,38%,210,555
519,,,,,58%,339,585
522,,,,,45%,325,715
525,,,,,53%,485,920
528,,,,,32%,260,805
531,,,,,46%,345,750
533,,,,,46%,635,1370
536,,,,,39%,85,220
539,,,,,38%,79,210
541.01,,,,,59%,940,1600
541.02,,,,,11%,10,90
544,,,,,50%,155,310
547,,,,,40%,240,600
550,,,,,20%,59,300
553,,,,,27%,220,825
556,,,,,41%,90,220
